Prompt,Input,Output,Type
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Anyway it goes on you know and the son-in-law and mother-in-law are sniping at each other and all and then when it comes time for him to throw her over well the teenaged son the night before tried to save her by hiding her. And she said no you can't do you know he was running in a wheelchair to hide her and she said You can't do that. This is tradition. This is what old people are supposed to be thrown over the cliff. And uh he said I don't understand. it's real funny that they give the teenagers as the one that questions uh what's going on. And uh in the end uh the son-in-law when he did get the mother-in-law up to the cliff uh the the so- so- the teenaged son throws himself in the way and says No you can't do it and then uh Oh well we've got to do it. It's tradition and the son was you know Why? And so in the end he doesn't throw her over and of course the town thinks he's just terrible because that has been tradition for hundreds of years and he's broken it. And then we saw one there there was was a a teenage teenage when a teenage boy comes into his manhood they call it the night of the howling or something like that and they all go out and howl you know. and the son refused to do it.,Anyway <sil> it goes on <sil> you know <sil> and the son-in-law and mother-in-law are sniping at each other and all <sil> and then when it comes time for him to throw her over <sil> well <sil> the teenaged son the night before tried to save her by hiding her. And she said no <sil> you can't do <sil> you know <sil> he was running in a wheelchair to hide her <sil> and she said <sil> You can't do that. This is tradition. This is what old people are supposed to be <sil> thrown over the cliff. And <sil> uh <sil> he said <sil> I don't understand. it's real funny that they give the teenagers as the one that questions <sil> uh <sil> what's going on. And <sil> uh <sil> in the end uh <sil> the son-in-law <sil> when he did get the mother-in-law up to the cliff <sil> uh <sil> the the so- so- <sil> <sil> the teenaged son throws himself in the way and says <sil> No <sil> you can't do it <sil> and then <sil> uh <sil> Oh <sil> well <sil> we've got to do it. It's tradition <sil> and the son was <sil> you know <sil> Why? And so <sil> in the end he doesn't throw her over <sil> <sil> and <sil> of course <sil> the town thinks he's just terrible <sil> because that has been tradition for hundreds of years and he's broken it. And then we saw one there there was was a a teenage teenage <sil> <sil> when a teenage boy comes into his manhood <sil> they call it the night of the howling <sil> or something like that <sil> and they all go out and howl <sil> you know. and the son refused to do it.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i know that uh this last winter was very hard on uh several areas the the ukraine particularly the coal mining regions of siberia uh,i know that uh this last winter was very hard on uh several areas in the in the the ukraine particularly the coal mining regions of siberia uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah yeah. Um I n- I'm a a writer by profession and uh when when I was first here in in Dallas or in Plano um and was finally able to this is oh been like fourteen years ago we moved here. And I was finally able to afford a new typewriter and I got an I B M Selectric. I thought I had died and gone to heaven because I thought oh they're so wonderful. Well then um Yeah ours really needs to have some work done on it but but then my husband um worked at T I and I got a um this has been years ago he doesn't work there anymore but he got a um uh the the T I professional and brought that home and I learned Wordstar on that and boy once that happened there was just no way that I could ever go back to doing anything of length of the typewriter.,Yeah <sil> yeah. Um <sil> I n- <sil> I'm a <sil> a writer by profession and <sil> uh <sil> when <sil> when I was first here in <sil> in Dallas or in Plano <sil> um <sil> and was finally able to <sil> this is <sil> oh <sil> been like fourteen years ago we moved here. And I was finally able to afford a new typewriter <sil> and I got an I B M Selectric. I thought I had died and gone to heaven because <sil> I thought <sil> oh <sil> they're so wonderful. Well <sil> then <sil> um <sil> Yeah <sil> ours really needs to have some work done on it but <sil> but then my husband <sil> um <sil> worked at T I and I got a <sil> um <sil> this has been years ago he doesn't work there anymore <sil> but he got a <sil> um <sil> uh <sil> the <sil> the T I professional and brought that home and I learned Wordstar on that <sil> and <sil> boy once that happened <sil> there was just no way that I could ever go back to doing anything of length of the typewriter.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but i really think it's true for our family,but it's i really think it's true for our family,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well luckily it hasn't gotten that bad here. Uh San Jose actually has a pretty good record in terms of being relatively low on violent crime. Uh but it's on the uprise especially in a lot of the uh outlying agricultural towns. Uh because you end up having a lot of gangs forming uh largely around the Hispanic core. Uh it seems to be that uh gang warfare follows very rapidly on the heels of poverty conditions.,Well <sil> luckily <sil> it hasn't gotten that bad here. Uh <sil> San Jose actually has a pretty good record in terms of being relatively low on violent crime. Uh <sil> but it's on the uprise <sil> especially in a lot of the <sil> uh <sil> outlying agricultural towns. Uh <sil> because you end up having a lot of gangs forming <sil> uh <sil> largely around the Hispanic core. Uh <sil> it seems to be that <sil> uh <sil> gang warfare follows very rapidly on the heels of poverty conditions.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh he is a prosecuting attorney,it's uh he is a prosecuting attorney,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah.,Oh <sil> yeah.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Okay Eric. Uh are you married and do you have a family?,Okay <sil> Eric. Uh <sil> are you married and do you have a family?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i do n't really mind paying taxes for positive things that are helps like roads and making sure that uh that water is safe and some of these things,well i do n't i do n't really mind paying taxes for for positive things that are helps like roads and making sure that uh that water is safe and some of these things,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh I can see some some potential changes that,Uh <sil> I can see some <sil> some potential changes that,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i think that,i i think i think that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i turned mine in about twelve hours early at noon,i went i turned mine in about twelve hours early at noon,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Do you think that it's just uh medical guys? What about you know you know how expensive new equipment and technology is. That's where I think most of the cost is coming.,Do you think that it's just <sil> uh <sil> medical guys? What about <sil> you know <sil> you know how expensive new equipment and technology is. That's where I think most of the cost is coming.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um and uh uh do these programs um,um and uh are these like uh do these programs um,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they seem to last,they seem to to last,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but even some little ones do pretty good,but even even some little ones do pretty good,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know but my wife likes to spend,and you know but my wife likes to spend,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Two cats you're lucky.,Two cats <sil> you're lucky.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. It's uh not that expensive. I think it cost me three dollars a square foot and uh you know no less than that. cost me about six hundred dollars all together.,Yeah. It's <sil> uh <sil> not that expensive. I think it cost me three dollars a square foot and <sil> uh <sil> you know <sil> no less than that. cost me about six hundred dollars all together.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we're thinking about buying another sedan um probably next year,and we're we're thinking about buying another sedan um probably next year,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they may not be able trace,they can n't they may not be able trace,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i do n't know,so i so i do n't know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um i guess i'm a fan of democracy,um i guess i guess i'm a fan of democracy,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",and uh you know I still do it once in a while.,and <sil> uh <sil> you know <sil> I still do it once in a while.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i shoul-,well i- i shoul-,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh he went at fifty,and and uh he went at fifty,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",or to put their child into a home setting where they they would leave at eight in the morning and drop a two year old off in a home where you knew there were going to be four other kids,or to put their child into a s- into a home setting where they would you know like they they would get leave at eight in the morning and and drop a two year old off in a home where you knew there were going to be four other kids,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um if you were going to uh buy a new car would you buy uh another Accord?,Um <sil> if you were going to <sil> uh <sil> buy a new car would you buy uh <sil> another Accord?,sil
